SIN3B_Expression,Group
5.510557022,Metastatic Melanoma
5.961336636,Metastatic Melanoma
6.730798684,Metastatic Melanoma
6.016510271,Metastatic Melanoma
6.527475692,Metastatic Melanoma
6.1973277,Metastatic Melanoma
6.340796421,Metastatic Melanoma
6.131972474,Metastatic Melanoma
6.369520662,Metastatic Melanoma
5.832391616,Metastatic Melanoma
6.079726688,Metastatic Melanoma
5.910534086,Metastatic Melanoma
5.683376163,Metastatic Melanoma
4.984838679,Metastatic Melanoma
5.087123513,Metastatic Melanoma
6.19995536,Metastatic Melanoma
6.259198749,Metastatic Melanoma
5.356020704,Metastatic Melanoma
6.29788838,Metastatic Melanoma
6.522402159,Metastatic Melanoma
6.482829572,Metastatic Melanoma
5.614039159,Metastatic Melanoma
5.89924027,Metastatic Melanoma
5.600721239,Metastatic Melanoma
6.160132814,Metastatic Melanoma
5.960923919,Metastatic Melanoma
6.632685693,Metastatic Melanoma
5.775971823,Metastatic Melanoma
5.703132269,Metastatic Melanoma
5.864534331,Metastatic Melanoma
6.044394119,Metastatic Melanoma
6.211697739,Metastatic Melanoma
4.877811819,Metastatic Melanoma
6.186700016,Metastatic Melanoma
6.506263461,Metastatic Melanoma
5.631156971,Metastatic Melanoma
5.800211124,Metastatic Melanoma
5.952465598,Metastatic Melanoma
5.131386457,Metastatic Melanoma
5.383385517,Metastatic Melanoma
6.017307296,Metastatic Melanoma
5.776712003,Metastatic Melanoma
6.41579939,Metastatic Melanoma
6.091827915,Metastatic Melanoma
6.232918002,Metastatic Melanoma
5.765832272,Metastatic Melanoma
6.452716664,Metastatic Melanoma
6.077360512,Metastatic Melanoma
5.737778576,Metastatic Melanoma
5.75095114,Metastatic Melanoma
6.181384461,Metastatic Melanoma
6.038589381,Metastatic Melanoma
4.714692546,Primary Melanoma
5.534586452,Primary Melanoma
6.147151389,Primary Melanoma
6.046717697,Primary Melanoma
5.516369945,Primary Melanoma
5.792049987,Primary Melanoma
5.342387377,Primary Melanoma
5.566904148,Primary Melanoma
5.584841309,Primary Melanoma
5.827502003,Primary Melanoma
6.130370399,Primary Melanoma
6.063490862,Primary Melanoma
5.354976255,Primary Melanoma
5.750524641,Primary Melanoma
5.620600632,Primary Melanoma
5.759502614,Primary Melanoma
6.407227037,Primary Melanoma
6.2873539,Primary Melanoma
5.279492988,Primary Melanoma
5.115867913,Primary Melanoma
6.479717544,Primary Melanoma
5.374427112,Primary Melanoma
5.390898556,Primary Melanoma
5.704835233,Primary Melanoma
5.690032624,Primary Melanoma
4.985538592,Primary Melanoma
5.143343823,Primary Melanoma
6.44354141,Primary Melanoma
6.060470486,Primary Melanoma
6.321184663,Primary Melanoma
5.808563111,Primary Melanoma
