Study,SIN3B_expression
GTEX,12.21
GTEX,12.16
GTEX,12.04
GTEX,12.01
GTEX,12
GTEX,11.99
GTEX,11.96
GTEX,11.94
GTEX,11.92
GTEX,11.92
GTEX,11.9
GTEX,11.89
GTEX,11.87
GTEX,11.86
GTEX,11.86
GTEX,11.85
GTEX,11.85
GTEX,11.84
GTEX,11.84
GTEX,11.83
GTEX,11.83
GTEX,11.83
GTEX,11.83
GTEX,11.82
GTEX,11.79
GTEX,11.79
GTEX,11.78
GTEX,11.78
GTEX,11.78
GTEX,11.78
GTEX,11.77
GTEX,11.77
GTEX,11.75
GTEX,11.75
GTEX,11.75
GTEX,11.74
GTEX,11.74
GTEX,11.74
GTEX,11.74
GTEX,11.73
GTEX,11.73
GTEX,11.73
GTEX,11.73
GTEX,11.72
GTEX,11.71
GTEX,11.7
GTEX,11.7
GTEX,11.7
GTEX,11.69
GTEX,11.69
GTEX,11.68
GTEX,11.67
GTEX,11.66
GTEX,11.66
GTEX,11.66
GTEX,11.66
GTEX,11.66
GTEX,11.65
GTEX,11.65
GTEX,11.64
GTEX,11.64
GTEX,11.63
GTEX,11.63
GTEX,11.63
GTEX,11.62
GTEX,11.62
GTEX,11.62
GTEX,11.62
GTEX,11.62
GTEX,11.61
GTEX,11.61
GTEX,11.61
GTEX,11.61
GTEX,11.61
GTEX,11.61
GTEX,11.6
GTEX,11.6
GTEX,11.6
GTEX,11.6
GTEX,11.6
GTEX,11.6
GTEX,11.6
GTEX,11.6
GTEX,11.59
GTEX,11.59
GTEX,11.59
GTEX,11.59
GTEX,11.59
GTEX,11.59
GTEX,11.59
GTEX,11.58
GTEX,11.58
GTEX,11.57
GTEX,11.57
GTEX,11.57
GTEX,11.57
GTEX,11.57
GTEX,11.56
GTEX,11.56
GTEX,11.56
GTEX,11.56
GTEX,11.55
GTEX,11.55
GTEX,11.55
GTEX,11.55
GTEX,11.55
GTEX,11.55
GTEX,11.55
GTEX,11.55
GTEX,11.55
GTEX,11.54
GTEX,11.54
GTEX,11.54
GTEX,11.54
GTEX,11.54
GTEX,11.53
GTEX,11.53
GTEX,11.53
GTEX,11.53
GTEX,11.53
GTEX,11.53
GTEX,11.53
GTEX,11.53
GTEX,11.52
GTEX,11.52
GTEX,11.52
GTEX,11.52
GTEX,11.52
GTEX,11.52
GTEX,11.51
GTEX,11.51
GTEX,11.51
GTEX,11.5
GTEX,11.5
GTEX,11.5
GTEX,11.5
GTEX,11.5
GTEX,11.5
GTEX,11.5
GTEX,11.5
GTEX,11.49
GTEX,11.49
GTEX,11.49
GTEX,11.49
GTEX,11.49
GTEX,11.49
GTEX,11.49
GTEX,11.49
GTEX,11.49
GTEX,11.48
GTEX,11.48
GTEX,11.48
GTEX,11.48
GTEX,11.48
GTEX,11.48
GTEX,11.48
GTEX,11.47
GTEX,11.47
GTEX,11.47
GTEX,11.47
GTEX,11.46
GTEX,11.46
GTEX,11.46
GTEX,11.46
GTEX,11.46
GTEX,11.46
GTEX,11.46
GTEX,11.46
GTEX,11.46
GTEX,11.46
GTEX,11.46
GTEX,11.46
GTEX,11.45
GTEX,11.45
GTEX,11.45
GTEX,11.44
GTEX,11.44
GTEX,11.44
GTEX,11.43
GTEX,11.43
GTEX,11.43
GTEX,11.43
GTEX,11.43
GTEX,11.43
GTEX,11.43
GTEX,11.43
GTEX,11.42
GTEX,11.42
GTEX,11.42
GTEX,11.42
GTEX,11.42
GTEX,11.42
GTEX,11.42
GTEX,11.42
GTEX,11.41
GTEX,11.41
GTEX,11.41
GTEX,11.41
GTEX,11.41
GTEX,11.4
GTEX,11.4
GTEX,11.4
GTEX,11.4
GTEX,11.4
GTEX,11.4
GTEX,11.4
GTEX,11.39
GTEX,11.39
GTEX,11.39
GTEX,11.39
GTEX,11.39
GTEX,11.39
GTEX,11.39
GTEX,11.38
GTEX,11.38
GTEX,11.38
GTEX,11.37
GTEX,11.37
GTEX,11.37
GTEX,11.37
GTEX,11.37
GTEX,11.37
GTEX,11.37
GTEX,11.37
GTEX,11.37
GTEX,11.37
GTEX,11.36
GTEX,11.36
GTEX,11.36
GTEX,11.36
GTEX,11.36
GTEX,11.36
GTEX,11.36
GTEX,11.35
GTEX,11.35
GTEX,11.35
GTEX,11.35
GTEX,11.35
GTEX,11.35
GTEX,11.34
GTEX,11.34
GTEX,11.34
GTEX,11.34
GTEX,11.34
GTEX,11.34
GTEX,11.34
GTEX,11.33
GTEX,11.33
GTEX,11.33
GTEX,11.33
GTEX,11.33
GTEX,11.33
GTEX,11.33
GTEX,11.33
GTEX,11.33
GTEX,11.33
GTEX,11.32
GTEX,11.32
GTEX,11.32
GTEX,11.32
GTEX,11.32
GTEX,11.32
GTEX,11.32
GTEX,11.32
GTEX,11.31
GTEX,11.31
GTEX,11.31
GTEX,11.31
GTEX,11.3
GTEX,11.3
GTEX,11.3
GTEX,11.3
GTEX,11.3
GTEX,11.3
GTEX,11.3
GTEX,11.29
GTEX,11.29
GTEX,11.29
GTEX,11.29
GTEX,11.29
GTEX,11.29
GTEX,11.29
GTEX,11.29
GTEX,11.28
GTEX,11.28
GTEX,11.28
GTEX,11.28
GTEX,11.28
GTEX,11.28
GTEX,11.28
GTEX,11.28
GTEX,11.27
GTEX,11.27
GTEX,11.27
GTEX,11.26
GTEX,11.26
GTEX,11.26
GTEX,11.26
GTEX,11.26
GTEX,11.25
GTEX,11.25
GTEX,11.25
GTEX,11.25
GTEX,11.25
GTEX,11.24
GTEX,11.24
GTEX,11.23
GTEX,11.23
GTEX,11.23
GTEX,11.23
GTEX,11.23
GTEX,11.23
GTEX,11.23
GTEX,11.23
GTEX,11.23
GTEX,11.22
GTEX,11.22
GTEX,11.22
GTEX,11.22
GTEX,11.22
GTEX,11.22
GTEX,11.22
GTEX,11.22
GTEX,11.21
GTEX,11.21
GTEX,11.21
GTEX,11.21
GTEX,11.21
GTEX,11.21
GTEX,11.21
GTEX,11.2
GTEX,11.2
GTEX,11.2
GTEX,11.2
GTEX,11.2
GTEX,11.2
GTEX,11.2
GTEX,11.2
GTEX,11.2
GTEX,11.19
GTEX,11.19
GTEX,11.18
GTEX,11.18
GTEX,11.18
GTEX,11.18
GTEX,11.18
GTEX,11.18
GTEX,11.18
GTEX,11.17
GTEX,11.17
GTEX,11.17
GTEX,11.17
GTEX,11.17
GTEX,11.16
GTEX,11.16
GTEX,11.16
GTEX,11.16
GTEX,11.16
GTEX,11.16
GTEX,11.16
GTEX,11.16
GTEX,11.15
GTEX,11.15
GTEX,11.15
GTEX,11.14
GTEX,11.14
GTEX,11.14
GTEX,11.14
GTEX,11.14
GTEX,11.14
GTEX,11.14
GTEX,11.14
GTEX,11.14
GTEX,11.14
GTEX,11.13
