Study,SIN3B 201,SIN3B 209,SIN3B 202,SIN3B 208,SIN3B 206
GTEX,71.12,4.56,0,3.18,1.06
GTEX,67.25,3.54,11.8,1.42,2.62
GTEX,63.57,1.85,2.24,4.63,4.66
GTEX,62.69,2.65,10.63,3.09,3.8
GTEX,58.91,1.86,4.19,4.95,6.32
GTEX,56.91,2.2,1.88,4.37,9.18
GTEX,55.84,2.02,1.5,5.09,8.61
GTEX,55.24,4.11,5.48,2.29,3.5
GTEX,54.75,4.24,3.69,5.16,5.41
GTEX,54.18,23.37,7.64,3.54,3.17
GTEX,53.87,2.2,0,4.64,7.05
GTEX,53.63,2.84,2.59,5.2,7.83
GTEX,53.55,2.63,2.94,5.78,8.68
GTEX,53.51,2.32,1.24,2.28,3.38
GTEX,53.12,3.54,4.28,4.85,7.03
GTEX,52.21,2.06,7.88,4.55,7.61
GTEX,50.82,1.52,6.3,6.12,9.76
GTEX,50.35,2.74,1.69,6.14,8.04
GTEX,50,2.63,4.1,3.11,7.82
GTEX,49.5,4.35,11.18,4.26,4.86
GTEX,49.43,1.48,2.52,3.92,10.45
GTEX,49.14,2.52,1.23,6.68,9.44
GTEX,49.13,0.81,2.19,4.71,10.81
GTEX,48.63,1.7,5.6,4.31,12.05
GTEX,48.19,1.2,0,6.49,9.57
GTEX,47.74,1.76,2.47,7.63,11.82
GTEX,47.55,2.55,0,7.43,11.33
GTEX,47.4,2.25,5.1,8.1,8.92
GTEX,47.24,3.66,1.14,7.18,10.94
GTEX,46.42,1.31,1.28,11.24,12.34
GTEX,46.37,2.11,1.99,7.22,13.5
GTEX,46.36,5.73,0,6.52,12.48
GTEX,46.15,2.47,3.45,8.53,9.72
GTEX,46.04,3.38,2.45,11.2,14.26
GTEX,45.93,2.03,5.59,7.16,14.86
GTEX,45.88,2.51,4.6,10.07,10.7
GTEX,45.84,2.61,6.86,6.63,6.89
GTEX,45.83,2.04,1.39,4.97,9.48
GTEX,45.79,1.91,0,12.25,10.3
GTEX,45.61,3.92,7.44,7.12,7.34
GTEX,45.52,2.48,4.47,5.43,10.05
GTEX,45.47,3.69,5.05,10.35,12.23
GTEX,45.43,1.51,0,10.05,13.86
GTEX,45.26,4.9,2.58,8.77,10.77
GTEX,45.12,2.53,2.45,8.73,8.18
GTEX,45.05,5.78,11.36,6.87,6.26
GTEX,44.99,1.6,2.4,8.89,13
GTEX,44.9,0.75,5.38,8.34,11.56
GTEX,44.86,3.09,7.06,7.15,9.11
GTEX,44.83,1.06,0.97,5.2,9.42
GTEX,44.82,1.71,5.95,6.8,13.29
GTEX,44.55,2.77,8.24,3.36,5.13
GTEX,44.41,1.74,4.19,9.4,13.22
GTEX,44.32,2.71,0.85,10.46,13.03
